pernr,bank_country,bank_key,bank_account,iban,currency,payment_method,needs_review
00000001,JP,17028123,7016010429,DE6291345949248287804446,JPY,K,1
00000002,ES,45927021,4379676828,DE5141830889780244,EUR,K,1
00000003,GB,21701997,4498904568,GB97630246970548037255,GBP,T,0
00000004,ES,64659064,9838850006,ES5901925438537488935795,EUR,T,0
00000005,FR,45776247,1277467577,FR5770991682847144112752513,EUR,T,0
00000006,US,24455280,4971889633,US60728303822008213508,USD,T,0
00000007,ES,15120898,2237242557,ES7652502638149181089152,EUR,T,0
00000008,US,60885206,4404292956,US78670031206338149067,USD,T,0
00000009,FR,81967819,6874419462,FR7412673196583655251061784,EUR,T,0
00000010,FR,85473140,3689030188,FR7918502666784458739756145,EUR,K,0
00000011,DE,54586820,8930670595,DE38596072750070416825,EUR,K,0
00000012,FR,55741163,4765873131,FR2129155839967438144264901,EUR,C,0
00000013,FR,16966122,7883345553,FR0326915614008325845595697,EUR,T,0
00000014,DE,31429524,6797584377,GB40346255622295436784,EUR,C,1
00000015,DE,28127105,4259242866,DE85458305027020123372,EUR,T,0
00000016,FR,55260453,8072110505,FR38800982216939372017,EUR,T,1
00000017,US,85291046,5638070439,US00849874079856055374,USD,K,0
00000018,JP,54801393,4090741475,JP0602707782669597855594,JPY,K,0
00000019,GB,42905268,7914937905,GB85846392990251974145,GBP,C,0
00000020,DE,31981756,6148486655,DE92845074185260096189,EUR,K,0
00000021,DE,10224217,1303261145,DE29347150079571979353,EUR,C,0
00000022,GB,68555945,6833713075,GB49663421584494351271,GBP,T,0
00000023,FR,21759284,8636540302,FR0961713761139456183677973,EUR,T,0
00000024,US,90208442,5996574686,US56716743278787407898,USD,T,0
00000025,ES,60679913,5409706617,ES9156194000143381298037,EUR,K,0
00000026,GB,19378727,4129831571,GB11572113052041351471,EUR,K,1
00000027,ES,10885171,3888219296,ES5679631413934120666264,EUR,K,0
00000028,GB,52340186,4350503020,GB93727465506594468231,GBP,K,0
00000029,DE,70172721,2569896890,DE28327593754743757914,EUR,K,0
00000030,JP,23695136,1432989951,JP9389309233617098875248,JPY,C,0
00000031,DE,15890474,3597137873,DE53506445370949224116,EUR,T,0
00000032,FR,22450648,2161575364,FR8852393790903967502714288,EUR,K,0
00000033,US,99541769,5611043103,US36234105810749019126,USD,C,0
00000034,GB,29082414,6389544319,GB64928505840250634216,GBP,T,0
00000035,GB,26944947,5853704652,GB39896809506170368314,GBP,T,0
00000036,GB,12850244,2764147856,GB29454294307137104856,GBP,K,0
00000037,FR,49164936,7962478150,FR2372082332953391840037194,EUR,T,0
00000038,JP,67799198,3297527049,JP4237673810759610488062,JPY,K,0
00000039,US,86961530,6711401753,US21826945119571345229,USD,T,0
00000040,ES,74011573,8120830203,ES4736801722867170703160,EUR,T,0
00000041,FR,45610876,2009218788,FR1382297298963235368499202,EUR,C,0
00000042,GB,72987396,8590710199,GB110728163973860,GBP,C,1
00000043,DE,14931607,8891200606,DE26085382765590188888,EUR,C,0
00000044,US,50949443,3895186489,US42650344458700090168,USD,K,0
00000045,ES,56098710,5863209688,JP2812550437394707773126,EUR,K,1
00000046,JP,80017395,5296463679,JP2451864619486227681046,JPY,C,0
00000047,DE,74821963,1900465004,DE95756283300053067565,EUR,C,0
00000048,US,37764610,4933175800,US84093292297800248641,USD,K,0
00000049,ES,91725513,8763894476,ES889571896648810537,EUR,K,1
00000050,ES,95732454,4638584909,ES651274704747910821,EUR,T,1
00000051,ES,80742802,6440357285,ES6117516373282291608314,EUR,K,0
00000052,JP,85808056,9091459217,FR4334848402885393460784,JPY,K,1
00000053,ES,52313904,8851490511,DE9546011461262900071440,EUR,T,1
00000054,GB,11684176,1102337762,US76606316428553554265,GBP,T,1
00000055,US,63450619,6985847286,DE63990816062860713016,EUR,K,1
00000056,US,96725398,3441357311,US645783866667999702,USD,C,1
00000057,JP,78820426,6627835119,JP9449900313155337417369,JPY,C,0
00000058,GB,68302392,9687262202,GB23203369699713996847,GBP,C,0
00000059,GB,82278854,5918882235,GB24752290747447700,GBP,C,1
00000060,JP,95678324,5128208369,JP2564280548520564747124,JPY,C,0
00000061,US,99477272,2833847394,US15452206651339354231,USD,T,0
00000062,ES,90061486,3136720457,ES2617271964097087344498,EUR,C,0
00000063,DE,75248132,2815577513,DE12739752564528461741,EUR,T,0
00000064,GB,79874957,1661241790,GB12404639958128321169,GBP,T,0
00000065,US,99720554,3860762595,US10629251671616497447,USD,K,0
00000066,FR,66303833,3361715221,FR0808814009823499859970994,EUR,K,0
00000067,US,60267442,5564394777,US76087439718077503913,USD,K,0
00000068,ES,78459929,6110236022,US5578439436971328561969,EUR,K,1
00000069,JP,14273667,2568211007,JP2468270598770960076130,JPY,T,0
00000070,FR,96631014,4704023098,FR6001351807943578618359980,EUR,C,0
00000071,ES,34355808,5680186581,ES2732829150943024074038,EUR,K,0
00000072,GB,21087694,1134154539,GB1160784113158493,GBP,T,1
00000073,DE,75351303,3899993483,JP38769109838027806371,USD,C,1
00000074,FR,98325218,4066287168,FR9822655045419817717980154,EUR,K,0
00000075,GB,45149912,8891788779,GB32527124323973641434,GBP,C,0
00000076,ES,32834044,9087218480,ES2097248546227624850679,EUR,K,0
00000077,FR,54949587,7937509627,FR4042720251294272159878975,EUR,T,0
00000078,FR,55220120,8120422486,FR52779970163756890679485,EUR,C,1
00000079,US,84383956,9479385667,US99728218844595617850,USD,K,0
00000080,GB,62505076,1446387419,GB61971503876660882122,GBP,T,0
00000081,JP,19836921,1186853444,JP7776781048833357648470,JPY,T,0
00000082,FR,71306238,7802065997,FR7104686603950699586943422,EUR,C,0
00000083,DE,62030257,6425375892,DE41320649243126631248,EUR,C,0
00000084,DE,86929375,3361127552,DE10969461021139997493,EUR,K,0
00000085,US,55111397,4973010848,US22025111825282508659,USD,K,0
00000086,FR,12188862,3579650823,FR3193726591771332068636636,EUR,C,0
00000087,US,35375454,3814260897,US63233501510652376838,USD,C,0
00000088,US,88678667,3059010148,US17741054493290454180,USD,C,0
00000089,US,21832271,6891250405,US98551887658031893211,USD,C,0
00000090,JP,94331350,7293840805,JP604459136325687785,JPY,T,1
00000091,FR,58790204,2454381707,FR6485548372023738542615178,EUR,K,0
00000092,FR,11721893,1726633857,FR6049732439557552911309130,EUR,K,0
00000093,ES,57233054,2610157537,ES0103527261010875491545,EUR,K,0
00000094,US,40753276,3516539983,US72471084847020418618,USD,K,0
00000095,US,64454662,1312834194,US83298471299606876499,USD,K,0
00000096,US,81403494,7759496151,US79089420138634630237,USD,T,0
00000097,US,77244105,5188886682,US74760385499962343189,EUR,T,1
00000098,DE,18016327,4061518608,DE02900238754462502,EUR,C,1
00000099,FR,95738397,7550754317,FR6542800052563871641628520,EUR,K,0
00000100,US,48614751,6734846430,US11377043955587236437,USD,K,0
00000101,FR,76408178,9461454365,US3982484155261235088414141,EUR,T,1
00000102,GB,94555921,3065399903,GB00411378737474021215,GBP,K,0
00000103,US,41322818,2010511281,US80063469039043212064,USD,C,0
00000104,FR,83037275,4610484708,FR9357810605852343582306074,EUR,K,0
00000105,JP,74936077,5912203833,JP7693319711145549071221,USD,K,1
00000106,ES,33835690,5008468842,ES675196554203784446,EUR,K,1
00000107,US,30637542,1602597471,US34719925210280140636,USD,C,0
00000108,GB,81991707,8240850789,GB48024170382019164437,GBP,C,0
00000109,US,69659769,9516734008,US25528332725150470642,USD,T,0
00000110,FR,60813511,5317477087,FR3952952542893465742756201,EUR,K,0
00000111,JP,71914109,5963979454,JP4892848703720755619636,JPY,T,0
00000112,DE,15923009,8037130547,ES831807435455557,EUR,C,1
00000113,JP,11362587,1965523218,JP9164190006459737827093,JPY,C,0
00000114,DE,28082832,7323829238,DE72743767623443572299,USD,K,1
00000115,JP,71248961,2368291128,JP7936484984739380480418,JPY,T,0
00000116,US,35927774,8034594633,US90312946069718963277,USD,C,0
00000117,DE,12819751,9009213406,DE98564415078305712021,EUR,C,0
00000118,FR,44408371,3994510999,DE0746610152921438947752165,EUR,T,1
00000119,JP,57251019,9505319020,JP1221376404687544863803,JPY,T,0
00000120,FR,46497806,7199401851,FR3947488323859519395080492,EUR,C,0
00000121,DE,68286542,1062138799,DE02008177659997407539,EUR,K,0
00000122,US,95130067,9753168526,US90943975428125817077,USD,K,0
00000123,JP,66419404,9468900494,JP61524748156067875,JPY,K,1
00000124,FR,10047692,6863221137,FR9322460865910938536195276,EUR,K,0
00000125,US,24578841,4342822771,US57459721211230960431,EUR,T,1
00000126,GB,92890806,7709082035,GB11586442559150458123,GBP,C,0
00000127,JP,18403207,8280776234,JP9761922058921802341737,JPY,C,0
00000128,GB,78494028,3858616062,JP94047612587003362296,GBP,K,1
00000129,FR,57655540,1140279074,FR7920049078475505299928492,EUR,C,0
00000130,GB,21917045,2927516859,GB41336019747233587923,EUR,T,1
00000131,GB,21127389,8887558760,GB76315192999905829557,EUR,C,1
00000132,US,68143161,4598869344,US94041670626912635283,USD,C,0
00000133,GB,11149066,5831986205,GB03817521333804725065,GBP,C,0
00000134,US,81913995,5602028321,US61296714851779787956,USD,K,0
00000135,DE,60661665,1201468912,DE95326616938577171320,EUR,K,0
00000136,JP,19862854,3398335314,JP6939932229152877215381,JPY,C,0
00000137,GB,83361115,9633110067,GB91960688651075776102,GBP,T,0
00000138,GB,95240756,7100720973,ES93788967040464810998,EUR,C,1
00000139,GB,64251781,8319805278,GB75794608774951481780,GBP,T,0
00000140,GB,13910684,1809325577,GB34239057694884172280,GBP,T,0
00000141,DE,53279575,2499330757,DE80889109841008931543,EUR,T,0
00000142,DE,45237524,3097243072,US05422262508009616505,USD,T,1
00000143,FR,73419318,2700459441,FR4086673573950126912003326,EUR,K,0
00000144,DE,14433366,9324639223,DE10484123000881758840,EUR,C,0
00000145,DE,85375094,1440287124,ES17989408783265844928,EUR,T,1
00000146,GB,54940194,2104492026,GB23464471888888296678,GBP,T,0
00000147,ES,65575747,3973904501,ES2979407594745827019193,EUR,C,0
00000148,ES,56757030,2581358829,ES4005128264250212559179,EUR,T,0
00000149,JP,13193342,1816135076,JP1425071520457285879923,JPY,K,0
00000150,JP,95782299,4717437728,JP3431128471941417754301,JPY,T,0
00000151,DE,95373738,9252596399,DE68592745701081419774,EUR,K,0
00000152,FR,31992727,5468379375,GB17363446015116722284398,EUR,K,1
00000153,DE,66242304,1221398982,DE25698986959099330987,EUR,T,0
00000154,ES,18623019,9315834974,ES8065246549235723220933,EUR,C,0
00000155,GB,29325229,6981080587,GB91797013430820222663,GBP,K,0
00000156,GB,59943707,8437122445,GB67110393629089724993,GBP,T,0
00000157,FR,99759560,6874572365,FR5552166092700017115669532,EUR,C,0
00000158,ES,41536258,5566011962,ES3461251844150995625061,EUR,K,0
00000159,US,20519512,3601421963,US09570175803993143456,USD,T,0
00000160,FR,94224598,1520090879,FR9785727919553815456978505,EUR,T,0
00000161,JP,17671779,7203619858,JP7020363983168410230456,USD,T,1
00000162,GB,79618215,7442825691,GB74666300150734483705,GBP,K,0
00000163,US,61970256,6527636948,ES73885473945899843733,USD,T,1
00000164,FR,82146911,8314020182,FR3214630015792289551176661,EUR,T,0
00000165,FR,51092604,5946542977,GB5213709078707595073826119,EUR,C,1
00000166,DE,29614475,7893291484,DE24503215083798027474,EUR,K,0
00000167,FR,98037664,2549188963,FR6749903429188333601376686,EUR,T,0
00000168,US,49083514,4718014211,US18086614288522589929,EUR,K,1
00000169,FR,62245494,7939094784,FR3648342759917206104023503,EUR,T,0
00000170,DE,59457647,4600796663,DE16311173612565289545,EUR,T,0
00000171,JP,26974510,6188276576,JP6103531093295319924038,JPY,C,0
00000172,FR,81795820,4335303557,FR2506066433117525380670531,EUR,T,0
00000173,ES,55328590,6140585007,ES8348385209227711,EUR,T,1
00000174,JP,79404455,6715823881,JP9055438688342214727733,JPY,C,0
00000175,ES,26047907,7985518029,ES9994902320833842745860,EUR,T,0
00000176,ES,94505847,9203467846,ES4673945949240731191882,EUR,T,0
00000177,JP,32387747,9218435294,JP2153347371820758048325,JPY,C,0
00000178,FR,89093844,9930631892,FR5224344671879719913988884,EUR,T,0
00000179,US,61841082,8921303604,US92178499713904382106,USD,C,0
00000180,ES,68006520,3278017797,ES1089464758154346170923,EUR,K,0
00000181,US,18328983,1246366805,US07590666945200940774,USD,C,0
00000182,FR,28255730,8284963245,FR1774895353406992589918074,EUR,C,0
00000183,FR,71034247,7912810396,FR5548178398492939234368939,EUR,T,0
00000184,US,99717456,3608753150,US53846916357340382,USD,K,1
00000185,US,12766543,8632483322,US39234375298577709436,USD,T,0
00000186,ES,56914422,3234551646,ES8374660840145208586125,EUR,T,0
00000187,GB,70360916,9945973557,JP82038599971950421,GBP,T,1
00000188,DE,99769427,5566311541,DE95222307575760371449,EUR,T,0
00000189,US,70552159,6017534662,US56674917209757721561,EUR,T,1
00000190,ES,50776121,1551283529,ES5228548110235587135931,EUR,K,0
00000191,US,67580582,8723988083,US19200020568364991096,USD,C,0
00000192,JP,13792729,2786504532,JP1175353370255345001718,JPY,K,0
00000193,ES,31283900,5983489925,ES0631913868778118381640,EUR,C,0
00000194,ES,80006728,4506778790,ES8329861787033411475180,EUR,C,0
00000195,US,53601476,2274331677,JP96929864299123660358,USD,K,1
00000196,FR,79369438,9019921170,FR9871240926091569957470414,EUR,T,0
00000197,US,79084433,4298066151,US01312844270666772608,USD,K,0
00000198,FR,84702674,7919676358,FR2122962419991449305424512,EUR,T,0
00000199,US,28437690,1110590213,JP69259467760756,EUR,T,1
00000200,US,56113302,5987629553,US47917959674100,EUR,C,1
00000201,US,77125307,1169707945,US46333607997556278664,USD,K,0
00000202,JP,24063001,2045291999,JP2575690402296698291901,USD,T,1
00000203,US,83210098,2492199062,US29966030881112981575,USD,T,0
00000204,DE,59526415,1358930225,DE02981625561414048731,EUR,K,0
00000205,DE,40186140,9215362600,DE48684755055304155718,EUR,T,0
00000206,GB,86528979,2868859397,GB12709488233555089561,GBP,C,0
00000207,GB,55644879,9807795555,GB38304871114771,GBP,C,1
00000208,JP,22463040,3822099761,JP3091424468106144293965,JPY,K,0
00000209,DE,46473853,3810903579,FR78408212544637519943,EUR,K,1
00000210,DE,77954635,1669039465,FR15978684456734003887,EUR,K,1
00000211,GB,42647023,8180764881,GB58201429849961676874,GBP,K,0
00000212,FR,37282712,6028662451,FR7749492368800759915918569,EUR,C,0
00000213,ES,53225789,4284935238,ES00544723722003132939,EUR,C,1
00000214,JP,45507111,7794211564,JP95138889447979156,JPY,C,1
00000215,FR,63441497,8464226460,FR0412130477070748215795370,EUR,T,0
00000216,JP,15774674,5110639952,JP3745598776426679514220,USD,T,1
00000217,GB,77182329,7938450861,GB89914058477903059892,GBP,T,0
00000218,FR,20785979,6630329549,FR5922367050956375076404748,EUR,C,0
00000219,US,36453625,3581337987,US01914146331599093010,USD,K,0
00000220,GB,77797536,1617228440,GB02693701697778290044,GBP,K,0
00000221,ES,36776348,6277772135,ES6642751541439399244970,EUR,T,0
00000222,ES,12303215,8690612911,ES3453890612838693961215,EUR,T,0
00000223,GB,36060156,3172264816,GB58757619368122459082,GBP,K,0
00000224,US,46003878,1847576468,US02501828888403674503,USD,T,0
00000225,DE,85782616,3273901064,DE0120343086733584,EUR,T,1
00000226,US,40994635,6293088114,US40156999946495320409,USD,C,0
00000227,US,21421932,1509821494,US20272421343271153618,USD,T,0
00000228,ES,90544310,5365022196,ES6352267589653409988611,EUR,C,0
00000229,JP,52550805,8165994528,JP0222541624502387807614,JPY,C,0
00000230,FR,21239515,7959609646,FR9459199149428130256145706,EUR,T,0
